Experiment;1;t;x;y;2;t;x;y;3;;;;
;;849.78491;0.00676;0.0252;;949.9914333;0.130771364;0.071119588;;;;;
;;853.1174;0.00793;0.0257;;953.3239111;0.130758133;0.071115557;;;;;
;;856.44989;0.00716;0.0254;;956.6564;0.129759917;0.071558741;;;;;
;;859.78238;0.00746;0.0254;;959.9889111;0.12971467;0.071579524;;;;;
;;863.11487;0.00772;0.0256;;963.3213778;0.129910725;0.071582384;;;;;
;;866.44736;0.00758;0.0254;;966.6538778;0.130073671;0.071602284;;;;;
;;869.77985;0.0113;0.0262;;969.9863444;0.129708745;0.07169934;;;;;
;;873.11234;0.00728;0.0255;;973.3188333;0.129726933;0.071677772;;;;;
;;876.44483;0.00769;0.0258;;976.6513222;0.130153158;0.071721019;;;;;
;;879.77732;0.0112;0.0264;;979.9838111;0.129902317;0.071830737;;;;;
;;883.10981;0.0113;0.0264;;983.3162889;0.130560348;0.071625117;;;;;
;;886.4423;0.0106;0.0262;;986.6487889;0.130815493;0.071638412;;;;;
;;889.77479;0.00573;0.0261;;989.9812444;0.129609139;0.072036876;;;;;
;;893.10728;0.00644;0.0261;;993.3137444;0.130151194;0.071966111;;;;;
;;896.43977;0.00618;0.0262;;996.6462556;0.129977236;0.072062584;;;;;
;;899.77226;0.00625;0.0261;;999.9787222;0.130092082;0.072069302;;;;;
;;903.10475;0.00599;0.0261;;1003.311233;0.130778003;0.072138804;;;;;
;;906.43724;0.00589;0.0262;;1006.643722;0.130368885;0.072217533;;;;;
;;909.76973;0.00616;0.0263;;1009.976167;0.130395884;0.072238138;;;;;
;;913.10222;0.00879;0.0259;;1013.308678;0.130526283;0.072485375;;;;;
;;916.43471;0.00911;0.026;;1016.641189;0.130241474;0.072457422;;;;;
;;919.7672;0.00654;0.0264;;1019.973711;0.130115458;0.07244906;;;;;
;;923.09969;0.00626;0.0265;;1023.306111;0.130025303;0.072574512;;;;;
;;926.43218;0.00905;0.0259;;1026.638611;0.130012581;0.072694497;;;;;
;;929.76467;0.00673;0.0265;;1029.971078;0.129999292;0.072670507;;;;;
;;933.09716;0.00778;0.0275;;1033.303567;0.13005013;0.072812612;;;;;
;;936.42965;0.0102;0.027;;1036.636044;0.130109408;0.072836236;;;;;
;;939.76214;0.00623;0.0266;;1039.968544;0.129890628;0.073058887;;;;;
;;943.09463;0.00604;0.0266;;1043.301022;0.129982223;0.073073548;;;;;
