Experiment;1;t;x;y;2;t;x;y;3;t;x;y;
;;;;;;1730.092944;0.128936037;0.078680783;;798.9333333;0.127808997;0.047922617;
;;;;;;1733.425478;0.129132379;0.078698017;;800;0.127805257;0.04792239;
;;;;;;1736.7579;0.12917434;0.078703143;;801.0666667;0.127680632;0.047866676;
;;;;;;1740.0904;0.129093798;0.078682889;;802.1333333;0.127725602;0.047891005;
;;;;;;1743.422878;0.12913143;0.078687643;;803.2;0.127924012;0.0480326;
;;;;;;1746.755367;0.129310986;0.078718705;;804.2666667;0.127738653;0.047932424;
;;;;;;1750.087856;0.12914889;0.078696987;;805.3333333;0.127946901;0.048043967;
;;;;;;1753.420333;0.128925311;0.078668932;;806.4;0.127887399;0.048038283;
;;;;;;1756.752833;0.128849943;0.078773635;;807.4666667;0.127815375;0.047996989;
;;;;;;1760.085322;0.128831273;0.078776435;;808.5333333;0.127714694;0.047969414;
;;;;;;1763.4178;0.128759423;0.078772424;;809.6;0.127604838;0.047974745;
;;;;;;1766.750278;0.128738758;0.078764144;;810.6666667;0.127912359;0.048198548;
;;;;;;1770.082756;0.128766795;0.078784127;;811.7333333;0.127926451;0.04819678;
;;;;;;1773.415256;0.128767335;0.078775209;;812.8;0.127748701;0.048206474;
;;;;;;;;;;813.8666667;0.127746757;0.048160232;
;;;;;;;;;;814.9333333;0.12783161;0.048185937;
;;;;;;;;;;816;0.127898598;0.048248668;
;;;;;;;;;;817.0666667;0.127869515;0.048299143;
;;;;;;;;;;818.1333333;0.127810306;0.048310271;
;;;;;;;;;;819.2;0.127815728;0.048342334;
;;;;;;;;;;820.2666667;0.127927606;0.048401728;
;;;;;;;;;;821.3333333;0.127843755;0.048356635;
;;;;;;;;;;822.4;0.127789573;0.048320457;
;;;;;;;;;;823.4666667;0.127797716;0.048373581;
;;;;;;;;;;824.5333333;0.127931738;0.048435118;
;;;;;;;;;;825.6;0.127899373;0.048416815;
;;;;;;;;;;826.6666667;0.127891563;0.048458577;
;;;;;;;;;;827.7333333;0.127879972;0.048474013;
;;;;;;;;;;828.8;0.127896248;0.048521335;
;;;;;;;;;;829.8666667;0.127783659;0.048450612;
;;;;;;;;;;830.9333333;0.127895316;0.048500872;
;;;;;;;;;;832;0.12787913;0.048509638;
;;;;;;;;;;833.0666667;0.128028283;0.04870119;
;;;;;;;;;;834.1333333;0.127839707;0.048662071;
;;;;;;;;;;835.2;0.127837078;0.048694949;
;;;;;;;;;;836.2666667;0.127895426;0.048760678;
